apygarda,nuo_galiojanciu_biuleteniu,partija,apylinkese,pastu,apylinke
Jurbarko (Nr. 62),0.0202,Nuosaikiųjų konservatorių sąjunga,27,3,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0175,Lietuvos centro sąjunga,24,2,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0169,Lietuvos valstiečių partija,23,2,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0121,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",17,1,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0067,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",10,-,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0054,Lietuvos laisvės sąjunga,8,-,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0047,Lietuvių tautininkų sąjunga,7,-,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),0.0007,"Lietuvos partija ""Socialdemokratija 2000""",1,-,Naujamiesčio (Nr. 31)
Jurbarko (Nr. 62),,Lietuvos lenkų rinkimų akcija,-,-,Naujamiesčio (Nr. 31)
Ukmergės (Nr. 61),0.2762,A.Brazausko socialdemokratinė koalicija,108,16,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.1849,Naujoji sąjunga (socialliberalai),69,14,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.1314,Lietuvos valstiečių partija,55,4,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0891,Lietuvos krikščionių demokratų partija,27,13,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0757,Tėvynės sąjunga  (Lietuvos konservatoriai),26,8,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0624,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",20,8,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0557,Lietuvos liberalų sąjunga,20,5,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0334,Krikščionių demokratų sąjunga,13,2,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0312,Lietuvių tautininkų sąjunga,11,3,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0267,Nuosaikiųjų konservatorių sąjunga,8,4,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0178,Lietuvos centro sąjunga,7,1,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0067,Lietuvos laisvės sąjunga,2,1,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0067,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",3,-,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),0.0022,"Lietuvos partija ""Socialdemokratija 2000""",1,-,Žemaitkiemio (Nr. 40)
Ukmergės (Nr. 61),,Lietuvos lenkų rinkimų akcija,-,-,Žemaitkiemio (Nr. 40)
Jonavos (Nr. 60),0.3168,A.Brazausko socialdemokratinė koalicija,177,8,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.2449,Naujoji sąjunga (socialliberalai),136,7,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.2021,Lietuvos liberalų sąjunga,111,7,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0668,Lietuvos valstiečių partija,34,5,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0479,Tėvynės sąjunga  (Lietuvos konservatoriai),24,4,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0274,Lietuvos laisvės sąjunga,13,3,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0188,Krikščionių demokratų sąjunga,9,2,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0154,"Lietuvos liaudies sąjunga ""Už teisingą Lietuvą""",8,1,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0137,Lietuvos centro sąjunga,8,-,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0137,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",6,2,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.012,Nuosaikiųjų konservatorių sąjunga,7,-,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0086,Lietuvos krikščionių demokratų partija,3,2,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0051,Lietuvių tautininkų sąjunga,3,-,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0051,"Lietuvos partija ""Socialdemokratija 2000""",2,1,Šveicarijos (Nr. 27)
Jonavos (Nr. 60),0.0017,Lietuvos lenkų rinkimų akcija,1,-,Šveicarijos (Nr. 27)
Kaišiadorių - Elektrėnų (Nr. 59),0.4726,A.Brazausko socialdemokratinė koalicija,73,39,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.1646,Naujoji sąjunga (socialliberalai),30,9,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.1139,Lietuvos liberalų sąjunga,22,5,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.0549,Lietuvos valstiečių partija,9,4,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.0422,Lietuvių tautininkų sąjunga,3,7,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.0295,Lietuvos centro sąjunga,6,1,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.0295,Lietuvos laisvės sąjunga,4,3,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.0295,Lietuvos krikščionių demokratų partija,4,3,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.0253,Krikščionių demokratų sąjunga,5,1,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.0211,Tėvynės sąjunga  (Lietuvos konservatoriai),5,-,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.0127,"Lietuvos partija ""Socialdemokratija 2000""",1,2,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),0.0042,"""Jaunosios Lietuvos"", naujųjų tautininkų ir politinių kalinių sąjunga",1,-,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),,Nuosaikiųjų konservatorių sąjunga,-,-,Mūro Strėvininkų (Nr. 30)
Kaišiadorių - Elektrėnų (Nr. 59),,Lietuvos lenkų rinkimų akcija,-,-,Mūro Strėvininkų (Nr. 30)
