kandidatas,apygarda,nuo_galiojanciu_biuleteniu,nuo_rinkeju,apylinkese,pastu
Albinas Vaižmužis,Biržų Kupiškio (Nr. 48) apygarda,0.5613,0.2669,9308,1069
Saulius Kubiliūnas,Biržų Kupiškio (Nr. 48) apygarda,0.4389,0.2087,7149,965
Antanas Matulas,Pasvalio Panevėžio (Nr. 47) apygarda,0.5011,0.2682,8352,1110
Vytautas Einoris,Pasvalio Panevėžio (Nr. 47) apygarda,0.4989,0.2671,8454,967
Nikolaj Medvedev,Pakruojo Joniškio (Nr. 46) apygarda,0.591,0.2492,8509,796
Alvydas Šedžius,Pakruojo Joniškio (Nr. 46) apygarda,0.409,0.1725,5897,543
Ramūnas Karbauskis,Šiaulių kaimiškoji (Nr. 45) apygarda,0.5568,0.2397,8510,531
Vincas Girnius,Šiaulių kaimiškoji (Nr. 45) apygarda,0.4432,0.1907,6522,673
Mindaugas Briedis,Radviliškio (Nr. 44) apygarda,0.5693,0.2414,8553,931
Antanas Kairys,Radviliškio (Nr. 44) apygarda,0.4307,0.1826,6504,670
Juozas Galdikas,Lazdijų Druskininkų (Nr. 71) apygarda,0.507,0.2052,7309,643
Alvydas Baležentis,Lazdijų Druskininkų (Nr. 71) apygarda,0.4932,0.1996,7131,604
