dalyvavo,rinkeju_skaicius,apygarda,negaliojantys_biuleteniai,apylinke
1406,2958,Kauno kaimiškoji (Nr.66) rinkimų apygarda,115,Jonučių
411,648,Kauno kaimiškoji (Nr.66) rinkimų apygarda,27,Kačerginės
301,569,Kauno kaimiškoji (Nr.66) rinkimų apygarda,36,Linksmakalnio
1557,3111,Kauno kaimiškoji (Nr.66) rinkimų apygarda,143,Menomokyklos
119,197,Kauno - Kėdainių (Nr.65) rinkimų apygarda,10,Angirių
235,434,Kauno - Kėdainių (Nr.65) rinkimų apygarda,15,Ažytėnų
1033,2033,Kauno - Kėdainių (Nr.65) rinkimų apygarda,87,Babtų
317,744,Kauno - Kėdainių (Nr.65) rinkimų apygarda,31,Pagynės
227,429,Kauno - Kėdainių (Nr.65) rinkimų apygarda,11,Beinaičių
395,1106,Kauno - Kėdainių (Nr.65) rinkimų apygarda,38,Panevėžiuko
459,927,Kauno - Kėdainių (Nr.65) rinkimų apygarda,30,Čekiškės
272,653,Kauno - Kėdainių (Nr.65) rinkimų apygarda,12,Liučiūnų
954,1717,Kauno - Kėdainių (Nr.65) rinkimų apygarda,73,Josvainių
1800,3197,Kauno - Kėdainių (Nr.65) rinkimų apygarda,139,Domeikavos
881,1763,Kauno - Kėdainių (Nr.65) rinkimų apygarda,44,Neries
366,833,Kauno - Kėdainių (Nr.65) rinkimų apygarda,36,Voškonių
924,2141,Kauno - Kėdainių (Nr.65) rinkimų apygarda,54,Lapių
457,952,Kauno - Kėdainių (Nr.65) rinkimų apygarda,25,Krakių
294,613,Kauno - Kėdainių (Nr.65) rinkimų apygarda,8,Kunionių
481,893,Kauno - Kėdainių (Nr.65) rinkimų apygarda,24,Labūnavos
234,361,Kauno - Kėdainių (Nr.65) rinkimų apygarda,10,Langakių
255,549,Kauno - Kėdainių (Nr.65) rinkimų apygarda,21,Medėkšių
216,434,Kauno - Kėdainių (Nr.65) rinkimų apygarda,9,Meironiškio
1306,2411,Kauno - Kėdainių (Nr.65) rinkimų apygarda,105,Raudondvario
208,443,Kauno - Kėdainių (Nr.65) rinkimų apygarda,14,Nociūnų
513,1159,Kauno - Kėdainių (Nr.65) rinkimų apygarda,43,Batniavos
179,277,Kauno - Kėdainių (Nr.65) rinkimų apygarda,10,Paaluonio
200,510,Kauno - Kėdainių (Nr.65) rinkimų apygarda,14,Pajieslio
228,435,Kauno - Kėdainių (Nr.65) rinkimų apygarda,13,Pašušvio
519,995,Kauno - Kėdainių (Nr.65) rinkimų apygarda,36,Pelėdnagių
189,360,Kauno - Kėdainių (Nr.65) rinkimų apygarda,7,Pelutavos
853,1745,Kauno - Kėdainių (Nr.65) rinkimų apygarda,36,Užliedžių
613,1473,Kauno - Kėdainių (Nr.65) rinkimų apygarda,54,Vandžiogalos
199,407,Kauno - Kėdainių (Nr.65) rinkimų apygarda,10,Pernaravos
132,341,Kauno - Kėdainių (Nr.65) rinkimų apygarda,12,Padauguvos
262,658,Kauno - Kėdainių (Nr.65) rinkimų apygarda,18,Saulėtekių
161,443,Kauno - Kėdainių (Nr.65) rinkimų apygarda,12,Daugėliškių
102,231,Kauno - Kėdainių (Nr.65) rinkimų apygarda,5,Saviečių
169,301,Kauno - Kėdainių (Nr.65) rinkimų apygarda,3,Skaistgirių
748,1250,Kauno - Kėdainių (Nr.65) rinkimų apygarda,82,Kulautuvos
545,1340,Kauno - Kėdainių (Nr.65) rinkimų apygarda,51,Vilkijos
1040,2133,Kauno - Kėdainių (Nr.65) rinkimų apygarda,81,Žalgirio
193,444,Kauno - Kėdainių (Nr.65) rinkimų apygarda,11,Vainikų
481,1089,Kauno - Kėdainių (Nr.65) rinkimų apygarda,41,Mokyklos
898,1745,Šakių (Nr.64) rinkimų apygarda,70,Žiburio
1100,2170,Šakių (Nr.64) rinkimų apygarda,72,Varpo
738,1389,Šakių (Nr.64) rinkimų apygarda,52,Aušros
222,493,Šakių (Nr.64) rinkimų apygarda,24,Barzdų
199,401,Šakių (Nr.64) rinkimų apygarda,19,Baltrušių
196,466,Šakių (Nr.64) rinkimų apygarda,11,Būblelių
276,560,Šakių (Nr.64) rinkimų apygarda,22,Panovių
1057,2588,Šakių (Nr.64) rinkimų apygarda,90,Gelgaudiškio
424,855,Šakių (Nr.64) rinkimų apygarda,18,Plokščių
441,868,Šakių (Nr.64) rinkimų apygarda,28,Griškabūdžio
188,330,Šakių (Nr.64) rinkimų apygarda,15,Degutinės
215,574,Šakių (Nr.64) rinkimų apygarda,17,Patašinės
239,489,Šakių (Nr.64) rinkimų apygarda,7,Paluobių
724,1570,Šakių (Nr.64) rinkimų apygarda,54,Kidulių
217,531,Šakių (Nr.64) rinkimų apygarda,11,Voverių
428,831,Šakių (Nr.64) rinkimų apygarda,42,Sudargo
480,1060,Šakių (Nr.64) rinkimų apygarda,30,Kriūkų
336,753,Šakių (Nr.64) rinkimų apygarda,20,Gerdžiūnų
509,1090,Šakių (Nr.64) rinkimų apygarda,51,Lekėčių
162,379,Šakių (Nr.64) rinkimų apygarda,12,Mikytų
193,481,Šakių (Nr.64) rinkimų apygarda,30,Daržininkų
750,1630,Šakių (Nr.64) rinkimų apygarda,45,Lukšių
268,670,Šakių (Nr.64) rinkimų apygarda,23,Liepalotų
411,1154,Šakių (Nr.64) rinkimų apygarda,37,Sūdavos
341,583,Šakių (Nr.64) rinkimų apygarda,20,Sintautų
229,561,Šakių (Nr.64) rinkimų apygarda,13,Veršių
222,411,Šakių (Nr.64) rinkimų apygarda,19,Keturnaujienos
297,575,Šakių (Nr.64) rinkimų apygarda,17,Žvirgždaičių
308,663,Šakių (Nr.64) rinkimų apygarda,22,Slavikų
172,374,Šakių (Nr.64) rinkimų apygarda,19,Gotlybiškių
93,203,Šakių (Nr.64) rinkimų apygarda,10,Duobiškių
258,581,Šakių (Nr.64) rinkimų apygarda,27,Išdagų
369,840,Šakių (Nr.64) rinkimų apygarda,28,Giedručių
153,337,Šakių (Nr.64) rinkimų apygarda,17,Ritinių
538,983,Šakių (Nr.64) rinkimų apygarda,37,Girėnų
240,497,Šakių (Nr.64) rinkimų apygarda,18,Briedžių
825,1583,Šakių (Nr.64) rinkimų apygarda,70,KudirkosNaumiesčio
160,280,Šakių (Nr.64) rinkimų apygarda,8,Slabadų
906,1919,Suvalkijos (Nr.63) rinkimų apygarda,65,KalvarijosVakarinė
680,1345,Suvalkijos (Nr.63) rinkimų apygarda,20,KazlųRūdos
857,1922,Suvalkijos (Nr.63) rinkimų apygarda,53,KalvarijosRytinė
1094,2234,Suvalkijos (Nr.63) rinkimų apygarda,74,Pušų
466,1145,Suvalkijos (Nr.63) rinkimų apygarda,25,Jungėnų
820,1627,Suvalkijos (Nr.63) rinkimų apygarda,51,Mindaugo
149,328,Suvalkijos (Nr.63) rinkimų apygarda,15,Brukų
318,598,Suvalkijos (Nr.63) rinkimų apygarda,10,Liepų
134,298,Suvalkijos (Nr.63) rinkimų apygarda,6,Sūsninkų
223,559,Suvalkijos (Nr.63) rinkimų apygarda,13,Bagotosios
153,349,Suvalkijos (Nr.63) rinkimų apygarda,16,Mockų
300,675,Suvalkijos (Nr.63) rinkimų apygarda,18,Antanavo
221,421,Suvalkijos (Nr.63) rinkimų apygarda,18,VišakioRūdos
314,762,Suvalkijos (Nr.63) rinkimų apygarda,11,Jusevičių
310,566,Suvalkijos (Nr.63) rinkimų apygarda,21,Sangrūdos
302,646,Suvalkijos (Nr.63) rinkimų apygarda,16,Jūrės
188,407,Suvalkijos (Nr.63) rinkimų apygarda,7,Jūrės
118,333,Suvalkijos (Nr.63) rinkimų apygarda,8,Radiškės
141,348,Suvalkijos (Nr.63) rinkimų apygarda,9,Salaperaugio
