apygarda,gimimo_data,seimynine_padetis,sunkus_nusikaltimas,darboviete,kandidatas,gyvena,issilavinimas,pomegiai,gimimo_vieta,iskele,tautybe,saraso_numeris,uzsienio_kalbos,pripazintas_kaltu,neatlikta_bausme
Dainavos,,Vedęs,,,Vladimir Jarmolenko,,,,,,,,Rusų;Anglų;Lenkų,,
Dainavos,,Vedęs,,,Antanas Dumčius,,,,,,,,,,
Dainavos,,Nenurodė,,,Arimantas Dragūnevičius,,,,,,,,Rusų;Anglų;Lenkų,,
Dainavos,,Vedęs,,,Julius Antanas Baltrukonis,,,,,,,,Rusų;Vokiečių,,
Dainavos,,Vedęs,,,Aleksandras Ambrazevičius,,,,,,,,Rusų;Anglų,,
Dainavos,,Vedęs,,,Arūnas Aišparas,,,,,,,,Vokiečių;Rusų,,
Pramonės,,Vedęs,,,Darius Šleinius,,Aukštasis,,,,,,Vokiečių;Rusų,,
Pramonės,,Vedęs,,,Valdas Petrauskas,,,,,,,,Anglų;Lenkų;Rusų,,
Pramonės,,,,,Brunonas Pakėnas,,,,,,,,,,
Pramonės,,Ištekėjusi,,,Giedrė Kuzmickienė,,Vidurinis,,,,,,Anglų;Rusų,,
Pramonės,,Ištekėjusi,,,Irena Keblerienė,,Aukštesnysis,,,,,,Rusų;Lenkų,,
Pramonės,,Vedęs,,,Antanas Petras Juška,,,,,,,,,,
Pramonės,,Vedęs,,,Vytautas Dubosaitis,,,,,,,,Rusų;Anglų;Lenkų,,
Pramonės,,,,,Vytautas Banevičius,,Aukštasis,,,,,,,,
Pramonės,,Vedęs,,,Algimantas Auškalnis,,,,,,,,Rusų;Anglų;Lenkų,,
Pramonės,,Vedęs,,,Giedrius Donatas Ašmys,,Aukštasis,,,,,,Rusų,,
Pramonės,,Našlė,,,Laima Liucija Andrikienė,,,,,,,,,,
Pramonės,,Išsiskyręs,,,Vladas Ambrazaitis,,,,,,,,Rusų,,
Panemunės,,Vedęs,,,Vladimir Tichonov,,Aukštasis,,,,,,,,
Panemunės,,Vedęs,,,Jurijus Subotinas,,,,,,,,Rusų,,
Panemunės,,Vedęs,,,Alfredas Henrikas Stasiulevičius,,,,,,,,Lenkų;Rusų;Anglų,,
Panemunės,,,,,Genovaitė Stanislovaitienė,,,,,,,,,,
Panemunės,,Vedęs,,,Rimantas Ruzas,,Aukštasis,,,,,,Rusų;Lenkų,,
Panemunės,,Vedęs,,,Vaclovas Vilius Pranarauskas,,,,,,,,Rusų;Anglų,,
Panemunės,,Vedęs,,,Viačeslavas Mironovas,,,,,,,,Rusų;Anglų,,
Panemunės,,Vedęs,,,Stanislovas Maleckas,,,,,,,,Rusų;Anglų,,
Panemunės,,Vedęs,,,Linas Antanas Linkevičius,,,,,,,,Anglų;Rusų;Lenkų,,
Panemunės,,Vedęs,,,Kazimieras Kuzminskas,,,,,,,,Vokiečių;Rusų,,
Panemunės,,Vedęs,,,Virginijus Juodviršis,,,,,,,,Rusų;Anglų;Lenkų,,
Panemunės,,Vedęs,,,Stanislovas Henrikas Gudonavičius,,,,,,,,Rusų;Lenkų,,
Panemunės,,Nenurodė,,,Irena Bronė Girdzijauskaitė,,,,,,,,Rusų;Lenkų,,
Panemunės,,,,,Balys Gajauskas,,,,,,,,,,
Baltijos,,Vedęs,,,Jurgis Utovka,,Aukštesnysis,,,,,,Rusų;Lenkų;Baltarusių,,
Baltijos,,Išsiskyrusi,,,Irena Šiaulienė,,Aukštasis,,,,,,Vokiečių;Rusų;Lenkų,,
Baltijos,,,,,Valė Julė Ragauskaitė,,Aukštasis,,,,,,,,
Baltijos,,Vedęs,,,Rafael Muksinov,,Aukštasis,,,,,,Anglų;Totorių,,
Baltijos,,Vedęs,,,Algirdas Kuniutis,,Aukštasis,,,,,,Anglų;Rusų,,
Baltijos,,,,,Kazimieras Jonas Jocius,,,,,,,,,,
Baltijos,,Ištekėjusi,,,Eugenija Janukonienė,,,,,,,,Rusų;Vokiečių,,
Baltijos,,Vedęs,,,Eugenijus Gentvilas,,Aukštasis,,,,,,Anglų;Vokiečių;Rusų,,
Baltijos,,Vedęs,,,Rimantas Didžiokas,,,,,,,,Vokiečių;Rusų,,
Marių,,Vedęs,,,Nikolaj Severinčik,,,,,,,,Anglų,,
Marių,,Vedęs,,,Viktoras Rudenko,,Aukštasis,,,,,,,,
Marių,,Ištekėjusi,,,Liudmila Rožkova,,,,,,,,Rusų;Anglų,,
Marių,,Vedęs,,,Egidijus Prižgintas,,Aukštasis,,,,,,Anglų;Rusų,,
Marių,,,,,Aldona Maslauskienė,,Aukštasis,,,,,,,,
Marių,,Vedęs,,,Aloyzas Martinavičius,,Aukštasis,,,,,,Rusų,,
Marių,,Vedęs,,,Leonas Makūnas,,Aukštasis,,,,,,Anglų;Rusų,,
Marių,,Vedęs,,,Egidijus Klumbys,,,,,,,,Rusų;Anglų,,
Marių,,,,,Romualda Hofertienė,,,,,,,,Anglų;Vokiečių;Rusų,,
Marių,,Išsiskyręs,,,Narsutis Dumbauskas,,,,,,,,Rusų,,
Marių,,,,,Juozas Domarkas,,,,,,,,,,
Marių,,Ištekėjusi,,,Audra Daujotienė,,Aukštasis,,,,,,Vokiečių;Rusų,,
Marių,,Ištekėjusi,,,Laimutė Ona Bakienė,,Aukštasis,,,,,,,,
Saulės,,Vedęs,,,Algirdas Vileikis,,Aukštasis,,,,,,Vokiečių,,
Saulės,,Ištekėjusi,,,Valentina Šimkuvienė,,,,,,,,Rusų,,
Saulės,,Netekėjusi,,,Vida Stasiūnaitė,,Aukštasis,,,,,,Vokiečių;Rusų,,
Saulės,,Vedęs,,,Žilvinas Razminas,,,,,,,,Rusų,,
Saulės,,,,,Erna Pošiūnienė,,,,,,,,,,
Saulės,,Vedęs,,,Vincas Laurutis,,Aukštasis,,,,,,Anglų,,
Saulės,,Išsiskyręs,,,Vytautas Kazlauskas,,Aukštesnysis,,,,,,Rusų;Lenkų,,
Saulės,,Vedęs,,,Stasys Grigaliūnas,,Aukštasis,,,,,,Anglų;Rusų,,
Saulės,,Vedęs,,,Dailis Alfonsas Barakauskas,,Aukštasis,,,,,,Anglų;Rusų;Latvių,,
Saulės,,Vedęs,,,Romualdas Aksomaitis,,,,,,,,Rusų;Anglų,,
Dainų,,Vedęs,,,Saulius Turskis,,Aukštasis,,,,,,,,
Dainų,,Ištekėjusi,,,Nijolė Ščiukaitė,,Aukštasis,,,,,,,,
Dainų,,Vedęs,,,Kazimieras Šavinis,,Aukštasis,,,,,,Anglų;Rusų,,
Dainų,,Vedęs,,,Stanislovas Snieška,,,,,,,,Lenkų;Rusų,,
Dainų,,Vedęs,,,Vytautas Seilius,,,,,,,,Vokiečių,,
Dainų,,Vedęs,,,Vitalijus Rumbauskas,,,,,,,,Rusų,,
Dainų,,Vedęs,,,Rimantas Lazdynas,,,,,,,,,,
Dainų,,Vedęs,,,Stepas Janušonis,,,,,,,,Anglų;Rusų,,
Dainų,,Našlys,,,Leonas Jankauskas,,Aukštasis,,,,,,Anglų;Rusų,,
Dainų,,Vedęs,,,Arvydas Juozapas Janavičius,,Aukštasis,,,,,,Anglų;Rusų;Lenkų,,
Dainų,,Vedęs,,,Arvydas Ivaškevičius,,,,,,,,Rusų;Lenkų;Vokiečių,,
Dainų,,Vedęs,,,Vytautas Giedraitis,,Aukštasis,,,,,,Vokiečių;Rusų,,
Dainų,,Vedęs,,,Algimantas Augys,,,,,,,,Rusų,,
Vakarinė,,Vedęs,,,Kęstutis Skrebys,,,,,,,,Rusų;Vokiečių,,
Vakarinė,,Vedęs,,,Vitalijus Satkevičius,,Aukštasis,,,,,,Anglų;Prancūzų;Rusų,,
Vakarinė,,Vedęs,,,Visvaldas Matkevičius,,Aukštasis,,,,,,,,
Vakarinė,,Vedęs,,,Jonas Liaučius,,Aukštasis,,,,,,Anglų;Rusų;Latvių,,
Vakarinė,,Ištekėjusi,,,Birutė Kriaučiūnienė,,Aukštasis,,,,,,Rusų,,
Vakarinė,,Vedęs,,,Viturys Giknius,,,,,,,,Rusų,,
Vakarinė,,Vedęs,,,Vytautas Steponas Buterlevičius,,Aukštasis,,,,,,Vokiečių;Rusų,,
Vakarinė,,Ištekėjusi,,,Valerija Brazienė,,,,,,,,Anglų;Rusų,,
Vakarinė,,Vedęs,,,Petras Bartkevičius,,Aukštasis,,,,,,Anglų;Rusų,,
Vakarinė,,Vedęs,,,Rimantas Astrauskas,,,,,,,,Rusų;Vokiečių,,
Naujamiesčio,,Vedęs,,,Zigfrid Račkovskis,,,,,,,,Vokiečių;Rusų,,
Naujamiesčio,,Vedęs,,,Algirdas Pilvelis,,Aukštasis,,,,,,,,
Naujamiesčio,,Ištekėjusi,,,Aurelija Pilotienė,,Aukštasis,,,,,,Anglų;Rusų,,
Naujamiesčio,,Išsiskyręs,,,Saulius Mickus,,Aukštasis,,,,,,Anglų;Rusų,,
Naujamiesčio,,Vedęs,,,Rimantas Matulis,,,,,,,,Rusų;Anglų;Lenkų;Vokiečių,,
