nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
0.0019,Jurbarko (Nr. 62) apygarda,Lietuvos liaudies partija,0,33
0.0019,Jurbarko (Nr. 62) apygarda,Lietuvos gyvenimo logikos partija,3,30
0.0018,Jurbarko (Nr. 62) apygarda,Tautos pažangos partija,2,30
0.0011,Jurbarko (Nr. 62) apygarda,Lietuvos rusų sąjunga,3,17
0.0003,Jurbarko (Nr. 62) apygarda,Lietuvos piliečių aljansas,0,6
0.0002,Jurbarko (Nr. 62) apygarda,Lietuvos lenkų rinkimų akcija,1,3
0.266,Ukmergės (Nr. 61) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),320,5069
0.1544,Ukmergės (Nr. 61) apygarda,Lietuvių tautininkų sąjunga,245,2884
0.1025,Ukmergės (Nr. 61) apygarda,Lietuvos demokratinė darbo partija,89,1988
0.0938,Ukmergės (Nr. 61) apygarda,Lietuvos krikščionių demokratų partija,192,1709
0.0907,Ukmergės (Nr. 61) apygarda,Lietuvos socialdemokratų partija,84,1753
0.0527,Ukmergės (Nr. 61) apygarda,Lietuvos centro sąjunga,49,1018
0.0402,Ukmergės (Nr. 61) apygarda,Lietuvos  moterų partija,38,776
0.0397,Ukmergės (Nr. 61) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",20,784
0.0339,Ukmergės (Nr. 61) apygarda,Lietuvos valstiečių partija,49,637
0.0286,Ukmergės (Nr. 61) apygarda,Krikščionių demokratų sąjunga,68,512
0.0256,Ukmergės (Nr. 61) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,37,482
0.0149,Ukmergės (Nr. 61) apygarda,Lietuvos socialistų partija,15,287
0.0092,Ukmergės (Nr. 61) apygarda,Lietuvos rusų sąjunga,7,179
0.0091,Ukmergės (Nr. 61) apygarda,Lietuvos laisvės lyga,17,168
0.0079,Ukmergės (Nr. 61) apygarda,Lietuvos laisvės sąjunga,11,149
0.0073,Ukmergės (Nr. 61) apygarda,Lietuvos socialinio teisingumo sąjunga,16,131
0.0057,Ukmergės (Nr. 61) apygarda,Respublikonų partija,11,105
0.0054,Ukmergės (Nr. 61) apygarda,Lietuvos liberalų sąjunga,5,104
0.0035,Ukmergės (Nr. 61) apygarda,Lietuvos ūkio partija,7,63
0.003,Ukmergės (Nr. 61) apygarda,Lietuvos piliečių aljansas,2,58
0.0029,Ukmergės (Nr. 61) apygarda,Lietuvos gyvenimo logikos partija,3,55
0.0018,Ukmergės (Nr. 61) apygarda,Tautos pažangos partija,2,35
0.0009,Ukmergės (Nr. 61) apygarda,Lietuvos liaudies partija,1,17
0.0006,Ukmergės (Nr. 61) apygarda,Lietuvos lenkų rinkimų akcija,3,9
0.2904,Jonavos (Nr. 60) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),242,4204
0.1241,Jonavos (Nr. 60) apygarda,Lietuvos centro sąjunga,66,1834
0.1052,Jonavos (Nr. 60) apygarda,Lietuvos demokratinė darbo partija,137,1473
0.1002,Jonavos (Nr. 60) apygarda,Lietuvos socialdemokratų partija,81,1453
0.0636,Jonavos (Nr. 60) apygarda,Lietuvos  moterų partija,65,908
0.0563,Jonavos (Nr. 60) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",41,821
0.0549,Jonavos (Nr. 60) apygarda,Lietuvos krikščionių demokratų partija,94,746
0.0408,Jonavos (Nr. 60) apygarda,Lietuvos valstiečių partija,68,556
0.0326,Jonavos (Nr. 60) apygarda,Lietuvių tautininkų sąjunga,23,476
