nuo_galiojanciu_biuleteniu,apygarda,partija,pastu,apylinkese
0.0021,Kretingos (Nr. 36) apygarda,Respublikonų partija,2,34
0.0014,Kretingos (Nr. 36) apygarda,Lietuvos liaudies partija,1,23
0.0013,Kretingos (Nr. 36) apygarda,Tautos pažangos partija,2,20
0.0013,Kretingos (Nr. 36) apygarda,Lietuvos rusų sąjunga,3,19
0.0008,Kretingos (Nr. 36) apygarda,Lietuvos piliečių aljansas,0,14
0.0004,Kretingos (Nr. 36) apygarda,Lietuvos lenkų rinkimų akcija,0,7
0.2973,Plungės (Nr. 35) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),276,5897
0.1899,Plungės (Nr. 35) apygarda,Lietuvos krikščionių demokratų partija,290,3653
0.1076,Plungės (Nr. 35) apygarda,Lietuvos demokratinė darbo partija,82,2152
0.105,Plungės (Nr. 35) apygarda,Lietuvos socialdemokratų partija,56,2124
0.0571,Plungės (Nr. 35) apygarda,Lietuvos centro sąjunga,25,1161
0.0461,Plungės (Nr. 35) apygarda,Lietuvos  moterų partija,31,926
0.0402,Plungės (Nr. 35) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",16,819
0.0353,Plungės (Nr. 35) apygarda,Lietuvos liberalų sąjunga,12,720
0.0297,Plungės (Nr. 35) apygarda,Krikščionių demokratų sąjunga,49,567
0.0219,Plungės (Nr. 35) apygarda,Lietuvių tautininkų sąjunga,27,427
0.0118,Plungės (Nr. 35) apygarda,Lietuvos laisvės sąjunga,10,236
0.0098,Plungės (Nr. 35) apygarda,Lietuvos socialinio teisingumo sąjunga,15,189
0.0092,Plungės (Nr. 35) apygarda,Lietuvos valstiečių partija,4,187
0.009,Plungės (Nr. 35) apygarda,Lietuvos laisvės lyga,3,184
0.0075,Plungės (Nr. 35) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,24,131
0.0051,Plungės (Nr. 35) apygarda,Respublikonų partija,3,102
0.0039,Plungės (Nr. 35) apygarda,Lietuvos ūkio partija,6,76
0.0037,Plungės (Nr. 35) apygarda,Lietuvos socialistų partija,1,75
0.0031,Plungės (Nr. 35) apygarda,Lietuvos gyvenimo logikos partija,7,58
0.0026,Plungės (Nr. 35) apygarda,Tautos pažangos partija,5,49
0.0015,Plungės (Nr. 35) apygarda,Lietuvos piliečių aljansas,1,30
0.0013,Plungės (Nr. 35) apygarda,Lietuvos rusų sąjunga,2,26
0.0012,Plungės (Nr. 35) apygarda,Lietuvos liaudies partija,2,22
0.0002,Plungės (Nr. 35) apygarda,Lietuvos lenkų rinkimų akcija,0,4
0.3948,Tauragės (Nr. 34) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),294,6433
0.1246,Tauragės (Nr. 34) apygarda,Lietuvos krikščionių demokratų partija,110,2013
0.0963,Tauragės (Nr. 34) apygarda,Lietuvos demokratinė darbo partija,66,1575
0.0812,Tauragės (Nr. 34) apygarda,Lietuvos socialdemokratų partija,59,1324
0.0559,Tauragės (Nr. 34) apygarda,Lietuvos centro sąjunga,33,920
0.0448,Tauragės (Nr. 34) apygarda,Lietuvos liberalų sąjunga,13,751
0.043,Tauragės (Nr. 34) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",8,725
0.0349,Tauragės (Nr. 34) apygarda,Krikščionių demokratų sąjunga,41,553
0.031,Tauragės (Nr. 34) apygarda,Lietuvos  moterų partija,25,503
0.0177,Tauragės (Nr. 34) apygarda,Lietuvių tautininkų sąjunga,8,293
0.0135,Tauragės (Nr. 34) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,15,215
0.0089,Tauragės (Nr. 34) apygarda,Lietuvos socialinio teisingumo sąjunga,14,138
0.0076,Tauragės (Nr. 34) apygarda,Lietuvos laisvės lyga,4,126
0.007,Tauragės (Nr. 34) apygarda,Lietuvos laisvės sąjunga,2,117
0.006,Tauragės (Nr. 34) apygarda,Lietuvos socialistų partija,2,101
0.0059,Tauragės (Nr. 34) apygarda,Lietuvos ūkio partija,2,98
0.0052,Tauragės (Nr. 34) apygarda,Lietuvos valstiečių partija,3,85
0.0036,Tauragės (Nr. 34) apygarda,Respublikonų partija,2,60
0.0035,Tauragės (Nr. 34) apygarda,Tautos pažangos partija,4,55
0.0014,Tauragės (Nr. 34) apygarda,Lietuvos gyvenimo logikos partija,2,22
0.0011,Tauragės (Nr. 34) apygarda,Lietuvos rusų sąjunga,0,18
0.0007,Tauragės (Nr. 34) apygarda,Lietuvos piliečių aljansas,0,12
0.0006,Tauragės (Nr. 34) apygarda,Lietuvos liaudies partija,0,10
0.0002,Tauragės (Nr. 34) apygarda,Lietuvos lenkų rinkimų akcija,0,4
0.429,Šilalės Šilutės (Nr. 33) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),515,7538
0.1315,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos krikščionių demokratų partija,185,2284
0.1203,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos centro sąjunga,82,2176
0.0814,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos demokratinė darbo partija,63,1465
0.0622,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos socialdemokratų partija,25,1143
0.0394,Šilalės Šilutės (Nr. 33) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",10,730
0.0265,Šilalės Šilutės (Nr. 33) apygarda,Krikščionių demokratų sąjunga,46,452
0.02,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos  moterų partija,22,354
0.0191,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos valstiečių partija,21,338
0.0179,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,27,309
0.0096,Šilalės Šilutės (Nr. 33) apygarda,Lietuvių tautininkų sąjunga,20,160
0.0089,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos laisvės sąjunga,8,159
0.0088,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos socialinio teisingumo sąjunga,16,149
0.0079,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos laisvės lyga,6,142
0.0035,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos liberalų sąjunga,1,64
0.003,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos socialistų partija,4,53
0.0025,Šilalės Šilutės (Nr. 33) apygarda,Respublikonų partija,7,40
0.0025,Šilalės Šilutės (Nr. 33) apygarda,Tautos pažangos partija,1,45
0.0023,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos ūkio partija,1,43
0.0018,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos gyvenimo logikos partija,2,31
0.0006,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos liaudies partija,0,11
0.0006,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos rusų sąjunga,1,10
0.0003,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos lenkų rinkimų akcija,0,6
0.0003,Šilalės Šilutės (Nr. 33) apygarda,Lietuvos piliečių aljansas,0,6
0.3197,Šilutės (Nr. 32) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),174,5287
0.1882,Šilutės (Nr. 32) apygarda,Lietuvos centro sąjunga,73,3141
0.0896,Šilutės (Nr. 32) apygarda,Lietuvos demokratinė darbo partija,78,1452
0.0764,Šilutės (Nr. 32) apygarda,Lietuvos krikščionių demokratų partija,83,1222
0.0757,Šilutės (Nr. 32) apygarda,Lietuvos socialdemokratų partija,35,1258
0.0387,Šilutės (Nr. 32) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",11,650
0.0384,Šilutės (Nr. 32) apygarda,Lietuvos valstiečių partija,24,632
0.033,Šilutės (Nr. 32) apygarda,Lietuvos  moterų partija,20,543
0.0323,Šilutės (Nr. 32) apygarda,Krikščionių demokratų sąjunga,35,517
0.0228,Šilutės (Nr. 32) apygarda,Lietuvių tautininkų sąjunga,10,380
0.0155,Šilutės (Nr. 32) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,18,247
0.0104,Šilutės (Nr. 32) apygarda,Lietuvos liberalų sąjunga,4,174
0.0101,Šilutės (Nr. 32) apygarda,Lietuvos laisvės sąjunga,5,167
0.0089,Šilutės (Nr. 32) apygarda,Lietuvos laisvės lyga,6,146
0.008,Šilutės (Nr. 32) apygarda,Lietuvos socialinio teisingumo sąjunga,12,125
0.007,Šilutės (Nr. 32) apygarda,Lietuvos socialistų partija,4,115
0.0063,Šilutės (Nr. 32) apygarda,Respublikonų partija,4,104
0.0061,Šilutės (Nr. 32) apygarda,Lietuvos ūkio partija,6,99
0.0052,Šilutės (Nr. 32) apygarda,Lietuvos rusų sąjunga,3,85
0.0026,Šilutės (Nr. 32) apygarda,Tautos pažangos partija,1,44
0.0017,Šilutės (Nr. 32) apygarda,Lietuvos gyvenimo logikos partija,2,27
0.0016,Šilutės (Nr. 32) apygarda,Lietuvos liaudies partija,0,28
0.0015,Šilutės (Nr. 32) apygarda,Lietuvos piliečių aljansas,0,25
0.0002,Šilutės (Nr. 32) apygarda,Lietuvos lenkų rinkimų akcija,0,4
0.2853,Gargždų (Nr. 31) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),242,4883
0.2563,Gargždų (Nr. 31) apygarda,Lietuvos krikščionių demokratų partija,408,4195
0.0756,Gargždų (Nr. 31) apygarda,Lietuvos demokratinė darbo partija,47,1311
0.072,Gargždų (Nr. 31) apygarda,Krikščionių demokratų sąjunga,100,1193
0.0648,Gargždų (Nr. 31) apygarda,Lietuvos centro sąjunga,20,1144
0.0516,Gargždų (Nr. 31) apygarda,Lietuvos socialdemokratų partija,44,883
0.0481,Gargždų (Nr. 31) apygarda,Lietuvos  moterų partija,41,823
0.033,Gargždų (Nr. 31) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",7,585
0.0273,Gargždų (Nr. 31) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,38,452
0.0175,Gargždų (Nr. 31) apygarda,Lietuvos liberalų sąjunga,8,306
0.0126,Gargždų (Nr. 31) apygarda,Lietuvių tautininkų sąjunga,11,216
0.0111,Gargždų (Nr. 31) apygarda,Lietuvos socialinio teisingumo sąjunga,3,197
0.0092,Gargždų (Nr. 31) apygarda,Tautos pažangos partija,1,165
0.0068,Gargždų (Nr. 31) apygarda,Lietuvos laisvės lyga,4,119
0.0064,Gargždų (Nr. 31) apygarda,Lietuvos laisvės sąjunga,4,111
0.0051,Gargždų (Nr. 31) apygarda,Lietuvos valstiečių partija,5,86
0.0041,Gargždų (Nr. 31) apygarda,Lietuvos ūkio partija,3,71
0.0041,Gargždų (Nr. 31) apygarda,Lietuvos socialistų partija,3,70
0.0023,Gargždų (Nr. 31) apygarda,Respublikonų partija,3,39
0.0019,Gargždų (Nr. 31) apygarda,Lietuvos piliečių aljansas,1,34
0.0019,Gargždų (Nr. 31) apygarda,Lietuvos rusų sąjunga,3,31
0.0012,Gargždų (Nr. 31) apygarda,Lietuvos liaudies partija,2,20
0.0012,Gargždų (Nr. 31) apygarda,Lietuvos gyvenimo logikos partija,0,21
0.0005,Gargždų (Nr. 31) apygarda,Lietuvos lenkų rinkimų akcija,0,9
0.2671,Alytaus (Nr. 30) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),172,4849
0.2182,Alytaus (Nr. 30) apygarda,Lietuvos centro sąjunga,69,4033
0.0997,Alytaus (Nr. 30) apygarda,Lietuvos demokratinė darbo partija,46,1827
0.0839,Alytaus (Nr. 30) apygarda,Lietuvos krikščionių demokratų partija,74,1502
0.0824,Alytaus (Nr. 30) apygarda,Lietuvos socialdemokratų partija,42,1506
0.0467,Alytaus (Nr. 30) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",10,868
0.0394,Alytaus (Nr. 30) apygarda,Lietuvos  moterų partija,18,722
0.0359,Alytaus (Nr. 30) apygarda,Krikščionių demokratų sąjunga,22,652
0.0356,Alytaus (Nr. 30) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,33,636
0.0155,Alytaus (Nr. 30) apygarda,Lietuvių tautininkų sąjunga,8,284
0.0153,Alytaus (Nr. 30) apygarda,Lietuvos socialinio teisingumo sąjunga,9,278
0.012,Alytaus (Nr. 30) apygarda,Lietuvos ūkio partija,8,218
0.0083,Alytaus (Nr. 30) apygarda,Lietuvos socialistų partija,3,153
0.0076,Alytaus (Nr. 30) apygarda,Lietuvos laisvės sąjunga,7,135
0.0075,Alytaus (Nr. 30) apygarda,Lietuvos laisvės lyga,8,133
0.0069,Alytaus (Nr. 30) apygarda,Lietuvos liberalų sąjunga,6,123
0.0032,Alytaus (Nr. 30) apygarda,Tautos pažangos partija,2,58
0.0031,Alytaus (Nr. 30) apygarda,Respublikonų partija,11,47
0.0029,Alytaus (Nr. 30) apygarda,Lietuvos rusų sąjunga,1,54
0.0027,Alytaus (Nr. 30) apygarda,Lietuvos valstiečių partija,5,45
0.0024,Alytaus (Nr. 30) apygarda,Lietuvos piliečių aljansas,2,44
0.0019,Alytaus (Nr. 30) apygarda,Lietuvos liaudies partija,2,33
0.0016,Alytaus (Nr. 30) apygarda,Lietuvos gyvenimo logikos partija,0,31
0.0003,Alytaus (Nr. 30) apygarda,Lietuvos lenkų rinkimų akcija,1,5
0.2649,Marijampolės (Nr. 29) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),157,4265
0.1756,Marijampolės (Nr. 29) apygarda,Krikščionių demokratų sąjunga,78,2852
0.1237,Marijampolės (Nr. 29) apygarda,Lietuvos krikščionių demokratų partija,60,2005
0.1077,Marijampolės (Nr. 29) apygarda,Lietuvos centro sąjunga,23,1775
0.0857,Marijampolės (Nr. 29) apygarda,Lietuvos demokratinė darbo partija,46,1384
0.0697,Marijampolės (Nr. 29) apygarda,Lietuvos socialdemokratų partija,24,1140
0.039,Marijampolės (Nr. 29) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",28,623
0.0384,Marijampolės (Nr. 29) apygarda,Lietuvos  moterų partija,23,618
0.0205,Marijampolės (Nr. 29) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,21,321
0.0204,Marijampolės (Nr. 29) apygarda,Lietuvių tautininkų sąjunga,6,334
0.011,Marijampolės (Nr. 29) apygarda,Lietuvos liberalų sąjunga,24,160
0.009,Marijampolės (Nr. 29) apygarda,Lietuvos laisvės lyga,29,121
0.0066,Marijampolės (Nr. 29) apygarda,Lietuvos laisvės sąjunga,3,107
0.0063,Marijampolės (Nr. 29) apygarda,Lietuvos socialinio teisingumo sąjunga,3,102
0.0061,Marijampolės (Nr. 29) apygarda,Lietuvos socialistų partija,2,100
0.004,Marijampolės (Nr. 29) apygarda,Lietuvos ūkio partija,1,65
0.0031,Marijampolės (Nr. 29) apygarda,Lietuvos valstiečių partija,4,47
0.0025,Marijampolės (Nr. 29) apygarda,Respublikonų partija,5,36
0.0018,Marijampolės (Nr. 29) apygarda,Lietuvos rusų sąjunga,0,30
0.0013,Marijampolės (Nr. 29) apygarda,Lietuvos piliečių aljansas,1,21
0.0013,Marijampolės (Nr. 29) apygarda,Lietuvos gyvenimo logikos partija,1,20
0.0008,Marijampolės (Nr. 29) apygarda,Lietuvos liaudies partija,0,13
0.0006,Marijampolės (Nr. 29) apygarda,Tautos pažangos partija,0,10
0.0001,Marijampolės (Nr. 29) apygarda,Lietuvos lenkų rinkimų akcija,0,2
0.318,Aukštaitijos (Nr. 28) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),362,6360
0.17,Aukštaitijos (Nr. 28) apygarda,Lietuvos krikščionių demokratų partija,333,3260
0.0961,Aukštaitijos (Nr. 28) apygarda,Lietuvos centro sąjunga,90,1941
0.0866,Aukštaitijos (Nr. 28) apygarda,Lietuvos demokratinė darbo partija,104,1727
0.0617,Aukštaitijos (Nr. 28) apygarda,Lietuvos socialdemokratų partija,78,1226
0.0417,Aukštaitijos (Nr. 28) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",21,860
0.0409,Aukštaitijos (Nr. 28) apygarda,Krikščionių demokratų sąjunga,88,776
0.0385,Aukštaitijos (Nr. 28) apygarda,Lietuvos  moterų partija,70,743
0.0345,Aukštaitijos (Nr. 28) apygarda,Lietuvos valstiečių partija,24,706
0.0236,Aukštaitijos (Nr. 28) apygarda,Lietuvos ūkio partija,12,487
0.0169,Aukštaitijos (Nr. 28) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,40,318
0.0141,Aukštaitijos (Nr. 28) apygarda,Lietuvių tautininkų sąjunga,12,287
0.0087,Aukštaitijos (Nr. 28) apygarda,Lietuvos laisvės lyga,9,175
0.0074,Aukštaitijos (Nr. 28) apygarda,Lietuvos socialinio teisingumo sąjunga,5,151
0.0069,Aukštaitijos (Nr. 28) apygarda,Lietuvos laisvės sąjunga,5,141
0.0066,Aukštaitijos (Nr. 28) apygarda,Lietuvos socialistų partija,10,129
0.0065,Aukštaitijos (Nr. 28) apygarda,Lietuvos liberalų sąjunga,0,137
0.0061,Aukštaitijos (Nr. 28) apygarda,Respublikonų partija,7,121
0.0047,Aukštaitijos (Nr. 28) apygarda,Lietuvos liaudies partija,6,93
0.0042,Aukštaitijos (Nr. 28) apygarda,Lietuvos rusų sąjunga,4,85
0.0025,Aukštaitijos (Nr. 28) apygarda,Lietuvos piliečių aljansas,2,50
0.0019,Aukštaitijos (Nr. 28) apygarda,Tautos pažangos partija,1,39
0.0013,Aukštaitijos (Nr. 28) apygarda,Lietuvos gyvenimo logikos partija,1,26
0.0007,Aukštaitijos (Nr. 28) apygarda,Lietuvos lenkų rinkimų akcija,2,12
0.3539,Vakarinė (Nr. 27) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),157,7188
0.1567,Vakarinė (Nr. 27) apygarda,Lietuvos centro sąjunga,38,3215
0.0981,Vakarinė (Nr. 27) apygarda,Lietuvos krikščionių demokratų partija,36,2001
0.0944,Vakarinė (Nr. 27) apygarda,Lietuvos socialdemokratų partija,41,1918
0.0698,Vakarinė (Nr. 27) apygarda,Lietuvos demokratinė darbo partija,30,1419
0.0489,Vakarinė (Nr. 27) apygarda,Lietuvos  moterų partija,24,991
0.0402,Vakarinė (Nr. 27) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",10,824
0.0276,Vakarinė (Nr. 27) apygarda,Krikščionių demokratų sąjunga,20,553
0.0169,Vakarinė (Nr. 27) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,13,338
0.0137,Vakarinė (Nr. 27) apygarda,Lietuvos ūkio partija,5,280
0.0125,Vakarinė (Nr. 27) apygarda,Lietuvių tautininkų sąjunga,7,252
0.0096,Vakarinė (Nr. 27) apygarda,Lietuvos socialistų partija,4,196
0.0092,Vakarinė (Nr. 27) apygarda,Lietuvos laisvės lyga,2,190
0.0078,Vakarinė (Nr. 27) apygarda,Lietuvos liberalų sąjunga,2,159
0.0073,Vakarinė (Nr. 27) apygarda,Lietuvos socialinio teisingumo sąjunga,10,141
0.0061,Vakarinė (Nr. 27) apygarda,Respublikonų partija,0,127
0.0058,Vakarinė (Nr. 27) apygarda,Lietuvos laisvės sąjunga,1,120
0.0053,Vakarinė (Nr. 27) apygarda,Lietuvos rusų sąjunga,1,110
0.0045,Vakarinė (Nr. 27) apygarda,Lietuvos valstiečių partija,2,91
0.004,Vakarinė (Nr. 27) apygarda,Tautos pažangos partija,1,83
0.0032,Vakarinė (Nr. 27) apygarda,Lietuvos piliečių aljansas,0,66
0.0024,Vakarinė (Nr. 27) apygarda,Lietuvos liaudies partija,0,49
0.0017,Vakarinė (Nr. 27) apygarda,Lietuvos gyvenimo logikos partija,0,35
0.0003,Vakarinė (Nr. 27) apygarda,Lietuvos lenkų rinkimų akcija,1,6
0.3994,Nevėžio (Nr. 26) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),280,8616
0.1292,Nevėžio (Nr. 26) apygarda,Lietuvos krikščionių demokratų partija,132,2747
0.1133,Nevėžio (Nr. 26) apygarda,Lietuvos centro sąjunga,70,2453
0.078,Nevėžio (Nr. 26) apygarda,Lietuvos demokratinė darbo partija,77,1660
0.0653,Nevėžio (Nr. 26) apygarda,Lietuvos socialdemokratų partija,36,1418
0.0359,Nevėžio (Nr. 26) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",15,784
0.0358,Nevėžio (Nr. 26) apygarda,Lietuvos  moterų partija,31,766
0.0292,Nevėžio (Nr. 26) apygarda,Krikščionių demokratų sąjunga,19,631
0.0207,Nevėžio (Nr. 26) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,35,425
0.0164,Nevėžio (Nr. 26) apygarda,Lietuvos socialinio teisingumo sąjunga,7,358
0.0121,Nevėžio (Nr. 26) apygarda,Lietuvių tautininkų sąjunga,4,266
0.0113,Nevėžio (Nr. 26) apygarda,Lietuvos liberalų sąjunga,4,248
0.009,Nevėžio (Nr. 26) apygarda,Lietuvos ūkio partija,3,198
0.0085,Nevėžio (Nr. 26) apygarda,Lietuvos rusų sąjunga,12,178
0.008,Nevėžio (Nr. 26) apygarda,Lietuvos socialistų partija,5,173
0.0066,Nevėžio (Nr. 26) apygarda,Lietuvos laisvės lyga,6,141
0.005,Nevėžio (Nr. 26) apygarda,Lietuvos laisvės sąjunga,9,103
0.0046,Nevėžio (Nr. 26) apygarda,Lietuvos piliečių aljansas,5,98
0.0035,Nevėžio (Nr. 26) apygarda,Lietuvos valstiečių partija,6,73
0.0028,Nevėžio (Nr. 26) apygarda,Respublikonų partija,2,61
0.0019,Nevėžio (Nr. 26) apygarda,Lietuvos gyvenimo logikos partija,0,42
0.0018,Nevėžio (Nr. 26) apygarda,Tautos pažangos partija,0,39
0.0013,Nevėžio (Nr. 26) apygarda,Lietuvos liaudies partija,1,29
0.0004,Nevėžio (Nr. 26) apygarda,Lietuvos lenkų rinkimų akcija,0,9
0.2888,Dainų (Nr. 25) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),80,4335
0.1434,Dainų (Nr. 25) apygarda,Lietuvos centro sąjunga,10,2183
0.1054,Dainų (Nr. 25) apygarda,Lietuvos socialdemokratų partija,13,1599
0.0984,Dainų (Nr. 25) apygarda,Lietuvos demokratinė darbo partija,15,1489
0.0654,Dainų (Nr. 25) apygarda,Lietuvos krikščionių demokratų partija,25,975
0.0489,Dainų (Nr. 25) apygarda,Lietuvos  moterų partija,7,741
0.0465,Dainų (Nr. 25) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",7,704
0.0362,Dainų (Nr. 25) apygarda,Krikščionių demokratų sąjunga,5,548
0.0271,Dainų (Nr. 25) apygarda,Lietuvių tautininkų sąjunga,2,412
0.0234,Dainų (Nr. 25) apygarda,Lietuvos ūkio partija,4,353
0.0212,Dainų (Nr. 25) apygarda,Lietuvos liberalų sąjunga,6,318
0.0164,Dainų (Nr. 25) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,1,249
0.0111,Dainų (Nr. 25) apygarda,Lietuvos laisvės lyga,0,170
0.0108,Dainų (Nr. 25) apygarda,Lietuvos socialinio teisingumo sąjunga,4,161
0.0107,Dainų (Nr. 25) apygarda,Lietuvos valstiečių partija,5,158
0.0094,Dainų (Nr. 25) apygarda,Lietuvos rusų sąjunga,1,142
0.0088,Dainų (Nr. 25) apygarda,Lietuvos socialistų partija,1,133
0.0083,Dainų (Nr. 25) apygarda,Lietuvos laisvės sąjunga,0,127
0.0066,Dainų (Nr. 25) apygarda,Tautos pažangos partija,5,96
0.0057,Dainų (Nr. 25) apygarda,Lietuvos piliečių aljansas,2,85
0.0026,Dainų (Nr. 25) apygarda,Lietuvos liaudies partija,1,38
0.0022,Dainų (Nr. 25) apygarda,Respublikonų partija,0,34
0.0021,Dainų (Nr. 25) apygarda,Lietuvos gyvenimo logikos partija,1,31
0.0008,Dainų (Nr. 25) apygarda,Lietuvos lenkų rinkimų akcija,0,12
0.3348,Saulės (Nr. 24) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),123,5348
0.1254,Saulės (Nr. 24) apygarda,Lietuvos centro sąjunga,37,2012
0.1067,Saulės (Nr. 24) apygarda,Lietuvos socialdemokratų partija,37,1706
0.1045,Saulės (Nr. 24) apygarda,Lietuvos demokratinė darbo partija,32,1676
0.0633,Saulės (Nr. 24) apygarda,Lietuvos krikščionių demokratų partija,49,985
0.0433,Saulės (Nr. 24) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",4,703
0.0362,Saulės (Nr. 24) apygarda,Lietuvos  moterų partija,11,580
0.0361,Saulės (Nr. 24) apygarda,Krikščionių demokratų sąjunga,17,573
0.0233,Saulės (Nr. 24) apygarda,Lietuvių tautininkų sąjunga,4,377
0.0159,Saulės (Nr. 24) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,8,251
0.0155,Saulės (Nr. 24) apygarda,Lietuvos liberalų sąjunga,5,249
0.0155,Saulės (Nr. 24) apygarda,Lietuvos ūkio partija,7,246
0.0136,Saulės (Nr. 24) apygarda,Lietuvos rusų sąjunga,9,213
0.012,Saulės (Nr. 24) apygarda,Lietuvos laisvės lyga,7,189
0.0119,Saulės (Nr. 24) apygarda,Lietuvos socialinio teisingumo sąjunga,6,189
0.011,Saulės (Nr. 24) apygarda,Lietuvos socialistų partija,5,174
0.0075,Saulės (Nr. 24) apygarda,Lietuvos laisvės sąjunga,5,118
0.0067,Saulės (Nr. 24) apygarda,Lietuvos piliečių aljansas,5,105
0.0056,Saulės (Nr. 24) apygarda,Lietuvos valstiečių partija,2,89
0.0032,Saulės (Nr. 24) apygarda,Lietuvos liaudies partija,2,51
0.0027,Saulės (Nr. 24) apygarda,Tautos pažangos partija,0,44
0.0024,Saulės (Nr. 24) apygarda,Respublikonų partija,0,39
0.002,Saulės (Nr. 24) apygarda,Lietuvos gyvenimo logikos partija,0,32
0.001,Saulės (Nr. 24) apygarda,Lietuvos lenkų rinkimų akcija,0,16
0.3388,Aušros (Nr. 23) apygarda,Tėvynės sąjunga  (Lietuvos konservatoriai),125,5273
0.1242,Aušros (Nr. 23) apygarda,Lietuvos centro sąjunga,37,1942
0.1036,Aušros (Nr. 23) apygarda,Lietuvos demokratinė darbo partija,36,1615
0.1035,Aušros (Nr. 23) apygarda,Lietuvos socialdemokratų partija,23,1626
0.0581,Aušros (Nr. 23) apygarda,Lietuvos krikščionių demokratų partija,40,885
0.0442,Aušros (Nr. 23) apygarda,Krikščionių demokratų sąjunga,26,678
0.0399,Aušros (Nr. 23) apygarda,"Lietuvių nacionalinė partija - ""Jaunoji Lietuva""",5,631
0.0327,Aušros (Nr. 23) apygarda,Lietuvos  moterų partija,14,507
0.0273,Aušros (Nr. 23) apygarda,Lietuvių tautininkų sąjunga,7,428
0.0204,Aušros (Nr. 23) apygarda,Lietuvos politinių kalinių ir tremtinių sąjunga,11,314
0.0168,Aušros (Nr. 23) apygarda,Lietuvos liberalų sąjunga,7,260
0.0126,Aušros (Nr. 23) apygarda,Lietuvos rusų sąjunga,2,199
0.0116,Aušros (Nr. 23) apygarda,Lietuvos ūkio partija,1,184
0.0113,Aušros (Nr. 23) apygarda,Lietuvos socialistų partija,1,179
0.0107,Aušros (Nr. 23) apygarda,Lietuvos socialinio teisingumo sąjunga,8,163
0.0105,Aušros (Nr. 23) apygarda,Lietuvos valstiečių partija,3,165
0.0103,Aušros (Nr. 23) apygarda,Lietuvos laisvės lyga,0,164
0.007,Aušros (Nr. 23) apygarda,Lietuvos laisvės sąjunga,4,107
0.006,Aušros (Nr. 23) apygarda,Lietuvos piliečių aljansas,2,93
0.0034,Aušros (Nr. 23) apygarda,Tautos pažangos partija,1,53
0.0026,Aušros (Nr. 23) apygarda,Lietuvos gyvenimo logikos partija,1,41
