kandidatas,mokesciai,gautos_paskolos,turtas,suteiktos_paskolos,gryni_pinigai,vertybiniai_popieriai,gautos_pajamos
Milda NARMONTIENĖ,2578.32,,61616.52,,,,16924.62
Povilas MIKAŠIS,470.46,,5000.0,,,,2209.54
Arvydas KREGŽDĖ,8093.81,,100880.0,,,,15620.76
Ruslanas KOLOMAKAS,2169.15,,3840.0,,,,5669.99
Regina GRICIŪNIENĖ,4590.97,,5384.0,,,,12395.34
Virginijus DYRA,2234.0,,426211.5,,,,25586.0
Antanas VALYS,7386.8,,47521.0,,,,14505.76
Algimantas STAKYS,0.0,,140173.0,,,,0.0
Ona SIMANAVIČIENĖ,0.0,,84848.0,,,,6044.0
Kornelijus PAPŠYS,1481.13,,174284.0,,,,6430.41
Saulius NEFAS,8473.54,,94628.0,,,,21540.46
Vytautas JANULIS,2127.48,,30800.0,,,,5672.52
Audris GRYBAUSKAS,427.68,,111942.0,,,,2074.92
Vytautas DUKNAUSKAS,7528.44,,502158.0,,,,14097.72
Michailas BUGAKOVAS,2971.36,,0.0,,,,6466.0
Antanas BAURA,2746.53,,117275.0,,,,9871.47
Vytautas SAULIS,7942.0,,68803.0,,,,17219.0
Irena SAIKALIENĖ,2280.0,,31607.0,,,,6828.0
Alvydas RAMANAUSKAS,5912.0,,101268.0,,,,11688.0
Jonas PETRAŠKA,6470.0,,75000.0,,,,12774.0
Gediminas MATIEKUS,5985.0,,97273.0,,,,12643.0
Vytautas MASIULIS,7136.0,,45632.0,,,,13864.0
Vidmantas KANOPA,3327.0,,351501.0,,,,6766.0
Petras BLAŽEVIČIUS,3247.0,,13214.0,,,,6438.0
Mečislovas ŠMATAVIČIUS,10559.0,,56760.0,,,,19951.0
Jonas ŠIMĖNAS,6546.24,,215360.0,,,,19361.0
Vidmantas PIMPĖ,55.0,,15600.0,,,,382.0
Arvydas PALECKIS,3226.0,,20460.0,,,,6913.0
Algimantas MATULEVIČIUS,867.0,,1042260.0,,,,742862.84
Kęstutis LELEIVA,3558.0,,46900.0,,,,7895.0
Vanda KIUDULIENĖ,5378.79,,80894.0,,,,11106.0
Dobilas Jonas KIRVELIS,2874.14,,96000.0,,,,7332.6
Vytautas KAZELA,661.0,,139947.0,,,,2839.0
Edvardas Jonas EISMONTAS,872.0,,101000.0,,,,2043.0
Rimantas DIJOKAS,9378.0,,46578.0,,,,20324.0
Anatolij VASILJEV,5745.04,,85312.0,,,,11829.84
Kęstutis TRAPIKAS,7402.68,,60134.0,,,,21638.32
Benjaminas SAKALAUSKAS,10431.0,,153359.0,,,,19919.0
Lionginas RADZEVIČIUS,8423.48,,266250.0,,,,16919.86
Petras PAPOVAS,7707.6,,56180.0,,,,21333.4
Rafael MUKSINOV,4230.61,,63209.0,,,,9043.32
Rimantas KUMPIS,4328.28,,199502.0,,,,8871.72
Vidmantas EIGĖLIS,5049.0,,53929.0,,,,11288.0
Algimantas CIBULSKIS,5856.0,,147235.0,,,,12143.0
Viačeslavas ANIKEJEVAS,1732.53,,9800.0,,,,4812.26
Liudvikas SABUTIS,8869.32,,263135.0,,,,23398.68
Petras RUTKAUSKAS,7196.65,,465770.0,,,,40143.68
Bronis ROPĖ,5550.84,,59959.0,,,,11573.12
Česlovas JURŠĖNAS,8869.32,,197182.0,,,,24350.0
Vytautas BULKA,3288.0,,85900.0,,,,190000.0
Jonas BALTAKIS,960.81,,31063.0,,,,5474.19
Kazimira Danutė PRUNSKIENĖ,7126.92,,607484.0,,,,20301.08
Vaclovas PAPINIGIS,4236.52,,66443.0,,,,8940.26
Nijolė KAZLAUSKIENĖ,2983.92,,1500.0,,,,10992.68
Alfonsas GEDGAUDAS,199.02,,189480.0,,,,4740.0
Gintautas BABRAVIČIUS,4013.0,,769617.0,,,,22687.0
Liudmila TRUSKAUSKIENĖ,4042.04,,83100.0,,,,9490.57
Virginijus ŠMIGELSKAS,5348.68,,0.0,,,,13180.0
Gediminas RUDŽIONIS,3749.4,,110500.0,,,,7842.6
Eligijus RYŠKUS,7588.0,,53281.0,,,,14831.0
Jonas PURVANECKAS,4614.0,,164262.0,,,,9576.0
Gabriel Jan MINCEVIČ,6546.0,,134800.0,,,,21605.0
Nikolaj MEDVEDEV,7707.6,,36000.0,,,,33244.28
Danius LYGIS,15583.73,,202216.0,,,,30181.65
Vilhelmas KELIUOTIS,733.0,,26719.0,,,,2984.0
Rokas RADŽIŪNAS,7664.7,,43306.0,,,,14835.3
Remigijus VINDAŠIUS,1900.22,,25870.0,,,,5595.82
Kęstutis ŽILYS,872.0,,118900.0,,,,2727.0
Leonardas ŽELVYS,3730.38,,56190.0,,,,19685.61
Virginijus ŽILIUS,3762.0,,50298.0,,,,10326.0
Rolandas TOLEIKIS,1124.58,,138725.0,,,,2642.12
Genovaitė UOSIENĖ,1938.0,,40000.0,,,,5278.0
Genovaitė SINSKIENĖ,2589.02,,77000.0,,,,6492.99
Vilija ŠEMETIENĖ,6431.66,,10802.0,,,,32249.01
Algis ŽVALIAUSKAS,6387.3,,574076.54,,,,39646.91
Virmantas VELIKONIS,6571.24,,35880.0,,,,26579.48
Vidas VISOCKIS,329.95,,2600.0,,,,1175.31
Kęstutis VIRBICKAS,9876.8,,125085.0,,,,42873.2
Kazimieras ŠAVINIS,7708.0,,152549.0,,,,22161.0
Arimantas RAČKAUSKAS,10655.69,,197650.0,,,,26822.01
Edvardas ŽAKARIS,6522.0,,48589.0,,,,19021.0
Rimas VALČIUKAS,1707.0,,169218.0,,,,5383.0
Albinas STANKUS,5255.0,,146466.0,,,,12466.0
Mindaugas RIMEIKIS,6412.92,,139172.0,,,,13762.08
Robertas RAMANAUSKAS,1002.73,,12000.0,,,,3601.55
Stasys PAULAUSKAS,4893.66,,130129.0,,,,11716.94
Raimundas PALAITIS,10609.4,,1028390.0,,,,296811.79
Dainius KEPENIS,3803.0,,178755.0,,,,21548.0
Petras GRECEVIČIUS,7061.0,,160500.0,,,,17368.0
Arūnas GODUNAVIČIUS,0.0,,40000.0,,,,0.0
Marijus Juozas EIDUKEVIČIUS,4076.28,,36590.0,,,,10023.72
Sigitas DOBILINSKAS,10379.88,,211000.0,,,,20200.12
Augenijus BRAŽIŪNAS,5668.0,,77513.0,,,,12326.0
Reimundas VARAPICKAS,2694.0,,8700.0,,,,5966.0
Jonas Adolfas STRAKŠYS,1269.31,,181662.0,,,,13942.37
Algimantas SĖJŪNAS,7707.6,,51690.0,,,,21333.4
Aivaras RUSEVIČIUS,159.0,,1000.0,,,,765.0
Virgilijus Kęstutis NOREIKA,14731.0,,333636.0,,,,56808.0
Laisvūnas NEIMANAS,1505.48,,533624.0,,,,5914.85
Mindaugas KONČIUS,6546.24,,86660.0,,,,19268.76
Arūnas KARŽINAUSKAS,1781.12,,581700.0,,,,2961.88
Vytautas DARGIS,3365.0,,21595.0,,,,3342.0
Dailis Alfonsas BARAKAUSKAS,5323.0,,148840.0,,,,10878.0
Žilvinas PUTRAMENTAS,4333.69,,33000.0,,,,8881.71
Rolandas PAULAUSKAS,0.0,,182560.0,,,,0.0
Artūras PAULAUSKAS,10913.0,,211148.0,,,,121055.0
Rimantas LAZDYNAS,389.0,,23158.0,,,,2095.0
Stasys KARITONAS,5512.0,,477704.0,,,,51233.0
Stasys GRIGALIŪNAS,5871.34,,97707.0,,,,14899.34
Algirdas ENDRIUKAITIS,0.0,,0.0,,,,10743.72
Zita ČEPULIENĖ,1910.6,,8360.0,,,,4575.92
Ramūnas BAUŽINSKAS,4436.07,,40000.0,,,,9848.79
Janina ABROMAVIČIENĖ,0.0,,66339.0,,,,2206.86
Egidijus SKAČKAUSKAS,64.58,,14001.0,,,,1723.8
Valerijus SIMULIK,3405.67,,31000.0,,,,7233.83
Artūras SATKAUSKAS,2131.09,,5000.0,,,,11283.13
Alfredas LANKAUSKAS,5671.14,,61420.0,,,,10561.78
Rimantas KRANKALIS,8599.0,,32516.0,,,,18073.0
Vytautas JUŠKUS,5460.0,,202076.0,,,,12546.0
Edmundas JOVAIŠIS,1490.0,,1108002.0,,,,4376.0
Laimontas DINIUS,1773.66,,371217.0,,,,4526.34
Antanas TERLECKAS,824.76,,0.0,,,,7864.74
Antanas SURVILA,2757.96,,780689.0,,,,7843.59
Vitas MATUZAS,10368.27,,100561.0,,,,22770.19
Visvaldas MATKEVIČIUS,9522.84,,50000.0,,,,17669.6
Pranciškus MARKEVIČIUS,3367.39,,33080.0,,,,8000.7
Vytautas LAPĖNAS,0.0,,501934.0,,,,4480.8
Tomas JOSAS,9226.65,,107380.0,,,,18914.13
Domininkas VELIČKA,4155.9,,206964.0,,,,9926.59
Vidmantas URBONAS,3128.31,,154719.0,,,,7614.22
Liudvika TRASYKYTĖ,28.01,,74327.0,,,,724.54
Gintaras ŠILEIKIS,7707.6,,131989.0,,,,21333.4
Vidas ŠAMŠONAS,4009.83,,40262.0,,,,8626.95
Kęstutis SKREBYS,6802.92,,63568.0,,,,24974.08
Lina RASIKEVIČIENĖ,2527.19,,73938.0,,,,9856.16
Petras LUOMANAS,7336.66,,23030.0,,,,14785.05
Edvardas KRIŠČIŪNAS,3453.75,,5000.0,,,,8164.01
Jonas GELAŽIUS,0.0,,114500.0,,,,2760.4
Antanas BASKAS,2700.74,,112753.0,,,,12858.88
Vytautas Liudvikas ŠEŠTOKAS,6845.1,,50250.0,,,,13150.45
Vaclovas SKAVRONSKAS,2044.35,,62236.44,,,,7694.68
Alfredas PEKELIŪNAS,7045.25,,5408444.0,,,,16341.74
Jonas KATINAS,1933.0,,712159.0,,,,90229.0
Valdas KARGIS,685.7,,406398.0,,,,2404.3
Marijonas Kazys JOČYS,5465.28,,94205.79,,,,18300.01
Eugenija BUKIENĖ,0.0,,6500.0,,,,8562.5
Rimantas ASTRAUSKAS,0.0,,4066.0,,,,0.0
Raimundas ALEKNA,18000.67,,165000.0,,,,56848.2
Ričardas MACKEVIČIUS,1099.0,,0.0,,,,7353.0
Kęstutis KAZAKEVIČIUS,2338.87,,131814.0,,,,5586.65
